Year,Quarter,LocationAbbr,LocationDesc,TopicDesc,MeasureDesc,ProvisionGroupDesc,ProvisionDesc,ProvisionValue,ProvisionAltValue,DataType,Enacted_Date,Effective_Date,GeoLocation,ProvisionGroupID,ProvisionID,Time_Lag,Negative_Lag,Copied_From_Neighbor,Total_Neighbors,No_Neighbors_Already_Implemented,Neighbor_Adoption_Rate,Neighbors_Already_Implemented,Neighbor_Who_Implemented_First,Adoption_Lag,Copy_Confidence_Score,Region,First_Known_Date,Years_Since_First_Adoption,Time_To_Implementation,Policy_Type,Is_Restaurant_Policy,Is_Worksite_Policy,Is_Ban_Policy,Region_Northeast,Region_South,Region_West,MeasureDesc_Commercial Day Care Centers,MeasureDesc_Government Multi-Unit Housing,MeasureDesc_Government Worksites,MeasureDesc_Home-based Day Care Centers,MeasureDesc_Hotels and Motels,MeasureDesc_Personal Vehicles,MeasureDesc_Private Multi-Unit Housing,MeasureDesc_Private Worksites,MeasureDesc_Restaurants,MeasureDesc_Smokefree Indoor Air – Other Sites
2006,3,CO,Colorado,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Bingo Halls,Banned,4,Ranking,2006-03-27,2006-07-01,"(38.843840757000464, -106.13361092099967)",15GRP,337,96,False,False,6,0,0.0,[],,,0.0,West,2003-03-26,3.0034223134839153,96,Smokefree Indoor Air – Other Sites - Bingo Halls,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006,3,AR,Arkansas,Legislation - Smokefree Indoor Air,Restaurants,Restriction Areas,Type of Restriction in Restaurant Employee Area,Designated Areas,3,Ranking,2006-04-07,2006-07-21,"(34.74865012400045, -92.27449074299966)",15GRP,232,105,False,False,6,2,0.3333333333333333,"['Missouri', 'Oklahoma']",Missouri,5048.0,0.2916666666666666,South,1975-01-01,31.263518138261464,105,Restaurants - Type of Restriction in Restaurant Employee Area,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2006,3,DC,District of Columbia,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Enclosed Arenas,Banned,4,Ranking,2006-01-31,2006-04-03,"(38.89037138500049, -77.03196112699965)",15GRP,98,62,False,False,2,0,0.0,[],,,0.0,South,1975-06-02,30.666666666666668,62,Smokefree Indoor Air – Other Sites - Enclosed Arenas,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006,4,DC,District of Columbia,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Grocery Stores,Banned,4,Ranking,2006-01-31,2006-04-03,"(38.89037138500049, -77.03196112699965)",15GRP,97,62,False,False,2,0,0.0,[],,,0.0,South,1975-06-02,30.666666666666668,62,Smokefree Indoor Air – Other Sites - Grocery Stores,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006,4,OH,Ohio,Legislation - Smokefree Indoor Air,Bars,Restriction Areas,Type of Restriction in Bar Patron Area,Banned,4,Ranking,2006-11-07,2006-12-07,"(40.06021014100048, -82.40426005599966)",15GRP,235,30,False,False,4,0,0.0,[],,,0.0,Midwest,1979-01-01,27.849418206707735,30,Bars - Type of Restriction in Bar Patron Area,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,4,OH,Ohio,Legislation - Smokefree Indoor Air,Restaurants,Restrictions,Type of Restriction in Restaurant (Summary),Banned,4,Ranking,2006-11-07,2006-12-07,"(40.06021014100048, -82.40426005599966)",10GRP,37,30,False,False,4,0,0.0,[],,,0.0,Midwest,1975-01-01,31.849418206707735,30,Restaurants - Type of Restriction in Restaurant (Summary),1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2006,4,AR,Arkansas,Legislation - Smokefree Indoor Air,Restaurants,Restrictions,Type of Restriction in Restaurant (Summary),Designated Areas,3,Ranking,2006-04-07,2006-07-21,"(34.74865012400045, -92.27449074299966)",10GRP,37,105,False,False,6,2,0.3333333333333333,"['Missouri', 'Oklahoma']",Missouri,5048.0,0.2916666666666666,South,1975-01-01,31.263518138261464,105,Restaurants - Type of Restriction in Restaurant (Summary),1,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2006,3,AR,Arkansas,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Grocery Stores,Banned,4,Ranking,2006-04-07,2006-07-21,"(34.74865012400045, -92.27449074299966)",15GRP,97,105,False,False,6,0,0.0,[],,,0.0,South,1975-06-02,30.847364818617386,105,Smokefree Indoor Air – Other Sites - Grocery Stores,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006,2,NJ,New Jersey,Legislation - Smokefree Indoor Air,Private Multi-Unit Housing,Restrictions,Type of Restriction in Lobby and Common Area of Private Multi-Unit Housing,Banned,4,Ranking,2006-01-15,2006-04-15,"(40.13057004800049, -74.27369128799967)",10GRP,125,90,False,True,3,1,0.3333333333333333,['Delaware'],Delaware,1325.0,0.2916666666666666,Northeast,2002-05-31,3.6276522929500343,90,Private Multi-Unit Housing - Type of Restriction in Lobby and Common Area of Private Multi-Unit Housing,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2006,3,CO,Colorado,Legislation - Smokefree Indoor Air,Restaurants,Restrictions,Type of Restriction in Restaurant (Summary),Banned,4,Ranking,2006-03-27,2006-07-01,"(38.843840757000464, -106.13361092099967)",10GRP,37,96,False,False,6,1,0.1666666666666666,['Utah'],Utah,4388.0,0.1458333333333333,West,1975-01-01,31.23340177960301,96,Restaurants - Type of Restriction in Restaurant (Summary),1,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
