Year,Quarter,LocationAbbr,LocationDesc,TopicDesc,MeasureDesc,ProvisionGroupDesc,ProvisionDesc,ProvisionValue,ProvisionAltValue,DataType,Enacted_Date,Effective_Date,GeoLocation,ProvisionGroupID,ProvisionID
2024,1,RI,Rhode Island,Legislation - Smokefree Indoor Air,Home-based Day Care Centers,Restrictions,Type of Restriction in Home-Based Day Care,Banned,4,Ranking,2000-07-13,2000-07-13,"(41.70828019300046, -71.52247031399963)",10GRP,65
2016,2,NE,Nebraska,Legislation - Smokefree Indoor Air,Restaurants,Restriction Areas,Type of Restriction in Restaurant Employee Area,Banned,4,Ranking,2008-02-26,2009-06-01,"(41.6410409880005, -99.36572062299967)",15GRP,232
2016,1,NE,Nebraska,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Malls,Banned,4,Ranking,2008-02-26,2009-06-01,"(41.6410409880005, -99.36572062299967)",15GRP,96
2024,1,VA,Virginia,Legislation - Smokefree Indoor Air,Government Worksites,Restrictions,Type of Restriction in Government Worksite,Designated Areas,3,Ranking,2009-03-09,2009-12-01,"(37.54268067400045, -78.45789046299967)",10GRP,1
2024,1,OH,Ohio,Legislation - Smokefree Indoor Air,Bars,Restriction Areas,Type of Restriction in Bar Patron Area,Banned,4,Ranking,2006-11-07,2006-12-07,"(40.06021014100048, -82.40426005599966)",15GRP,235
2024,1,NH,New Hampshire,Legislation - Smokefree Indoor Air,Private Worksites,Restrictions,Type of Restriction in Private Worksite,Designated Areas,3,Ranking,1990-04-27,1991-01-01,"(43.65595011300047, -71.50036091999965)",10GRP,20
2020,4,NE,Nebraska,Legislation - Smokefree Indoor Air,Hotels and Motels,Additional Requirements,Sleeping Room Designation (Type),Smoking Room,3,Ranking,2008-02-26,2009-06-01,"(41.6410409880005, -99.36572062299967)",20GRP,83
2021,1,NE,Nebraska,Legislation - Smokefree Indoor Air,Bars,Restrictions,Type of Restriction in Bar (Summary),Banned,4,Ranking,2008-02-26,2009-06-01,"(41.6410409880005, -99.36572062299967)",10GRP,234
2024,1,IA,Iowa,Legislation - Smokefree Indoor Air,Restaurants,Restriction Areas,Type of Restriction in Restaurant Patron Area,Banned,4,Ranking,2008-04-15,2008-07-01,"(42.46940091300047, -93.81649055599968)",15GRP,233
2017,1,NE,Nebraska,Legislation - Smokefree Indoor Air,Bars,Restrictions,Type of Restriction in Bar (Summary),Banned,4,Ranking,2008-02-26,2009-06-01,"(41.6410409880005, -99.36572062299967)",10GRP,234
2014,2,NE,Nebraska,Legislation - Smokefree Indoor Air,Bars,Restriction Areas,Type of Restriction in Bar Employee Area,Banned,4,Ranking,2008-02-26,2009-06-01,"(41.6410409880005, -99.36572062299967)",15GRP,236
2024,1,CA,California,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Public Transportation,Banned,4,Ranking,2016-05-04,2017-01-01,"(37.63864012300047, -120.99999953799971)",15GRP,99
2024,1,VT,Vermont,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Hospitals,Banned,4,Ranking,2009-05-09,2009-07-01,"(43.62538123900049, -72.51764079099962)",15GRP,100
2019,3,NE,Nebraska,Legislation - Smokefree Indoor Air,Home-based Day Care Centers,Restrictions,Type of Restriction in Home-Based Day Care,Banned,4,Ranking,2008-02-26,2009-06-01,"(41.6410409880005, -99.36572062299967)",10GRP,65
2024,1,AK,Alaska,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Grocery Stores,Designated Areas,3,Ranking,2018-07-17,2018-10-01,"(64.84507995700051, -147.72205903599973)",15GRP,97
2013,1,NE,Nebraska,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Enclosed Arenas,Banned,4,Ranking,2008-02-26,2009-06-01,"(41.6410409880005, -99.36572062299967)",15GRP,98
2010,1,NE,Nebraska,Legislation - Smokefree Indoor Air,Hotels and Motels,Restrictions,Type of Restriction in Lobby and Common Area of Hotel and Motel,Banned,4,Ranking,2008-02-26,2009-06-01,"(41.6410409880005, -99.36572062299967)",10GRP,81
