Year,Quarter,LocationAbbr,LocationDesc,TopicDesc,MeasureDesc,ProvisionGroupDesc,ProvisionDesc,ProvisionValue,ProvisionAltValue,DataType,Enacted_Date,Effective_Date,GeoLocation,ProvisionGroupID,ProvisionID
2010,2,AR,Arkansas,Legislation - Smokefree Indoor Air,Private Worksites,Restrictions,Type of Restriction in Private Worksite,Banned,4,Ranking,2006-04-07,2006-07-21,"(34.74865012400045, -92.27449074299966)",10GRP,20
2009,4,PA,Pennsylvania,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Malls,Banned,4,Ranking,2008-06-13,2008-09-11,"(40.79373015200048, -77.86070029399963)",15GRP,96
2010,2,NH,New Hampshire,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Enclosed Arenas,Designated Areas,3,Ranking,1990-04-27,1991-01-01,"(43.65595011300047, -71.50036091999965)",15GRP,98
2010,1,NV,Nevada,Legislation - Smokefree Indoor Air,Home-based Day Care Centers,Restrictions,Type of Restriction in Home-Based Day Care,Banned,4,Ranking,2006-11-07,2006-11-17,"(39.493240390000494, -117.07184056399967)",10GRP,65
2009,4,OR,Oregon,Legislation - Smokefree Indoor Air,Restaurants,Restriction Areas,Type of Restriction in Restaurant Bar Area,Banned,4,Ranking,2007-06-26,2009-01-01,"(44.56744942400047, -120.15503132599969)",15GRP,231
2010,1,ND,North Dakota,Legislation - Smokefree Indoor Air,Commercial Day Care Centers,Restrictions,Type of Restriction in Commercial Day Care,Banned,4,Ranking,1993-04-01,1993-08-01,"(47.47531977900047, -100.11842104899966)",10GRP,50
2010,1,VT,Vermont,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Hospitals,Banned,4,Ranking,2009-05-09,2009-07-01,"(43.62538123900049, -72.51764079099962)",15GRP,100
2010,2,GA,Georgia,Legislation - Smokefree Indoor Air,Home-based Day Care Centers,Restrictions,Type of Restriction in Home-Based Day Care,Banned,4,Ranking,1994-04-01,1994-07-01,"(32.83968109300048, -83.62758034599966)",10GRP,65
2010,1,MA,Massachusetts,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Enclosed Arenas,Banned,4,Ranking,2004-06-18,2004-07-05,"(42.27687047000046, -72.08269067499964)",15GRP,98
2010,2,ND,North Dakota,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Enclosed Arenas,Banned,4,Ranking,2005-04-25,2005-08-01,"(47.47531977900047, -100.11842104899966)",15GRP,98
2010,1,PR,Puerto Rico,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Enclosed Arenas,Banned,4,Ranking,1999-08-21,1999-08-21,"(18.220833, -66.590149)",15GRP,98
2010,2,IL,Illinois,Legislation - Smokefree Indoor Air,Government Worksites,Vehicles,Type of Restriction in Government Worksite Vehicle,Banned,4,Ranking,2007-07-23,2008-01-01,"(40.48501028300046, -88.99771017799969)",30GRP,17
2010,2,LA,Louisiana,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Malls,Banned,4,Ranking,2006-06-30,2007-01-01,"(31.31266064400046, -92.44568007099969)",15GRP,96
2009,4,UT,Utah,Legislation - Smokefree Indoor Air,Hotels and Motels,Additional Requirements,Sleeping Room Designation (Type),Smoking Room,3,Ranking,1994-03-22,1995-01-01,"(39.360700171000474, -111.58713063499971)",20GRP,83
2010,2,HI,Hawaii,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Enclosed Arenas,Banned,4,Ranking,2006-07-10,2006-11-16,"(21.304850435000446, -157.85774940299973)",15GRP,98
2010,1,TN,Tennessee,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Public Transportation,Banned,4,Ranking,2007-06-11,2007-10-01,"(35.68094058000048, -85.77449091399967)",15GRP,99
2010,1,VT,Vermont,Legislation - Smokefree Indoor Air,Restaurants,Restriction Areas,Type of Restriction in Restaurant Employee Area,Banned,4,Ranking,2009-05-09,2009-07-01,"(43.62538123900049, -72.51764079099962)",15GRP,232
2010,2,ND,North Dakota,Legislation - Smokefree Indoor Air,Restaurants,Restriction Areas,Type of Restriction in Restaurant Patron Area,Banned,4,Ranking,2005-04-25,2005-08-01,"(47.47531977900047, -100.11842104899966)",15GRP,233
2010,1,OK,Oklahoma,Legislation - Smokefree Indoor Air,Hotels and Motels,Restrictions,Type of Restriction in Lobby and Common Area of Hotel and Motel,Banned,4,Ranking,2003-06-06,2003-09-01,"(35.47203135600046, -97.52107021399968)",10GRP,81
2010,2,MD,Maryland,Legislation - Smokefree Indoor Air,Restaurants,Restriction Areas,Type of Restriction in Restaurant Patron Area,Banned,4,Ranking,2007-05-17,2008-02-01,"(39.29058096400047, -76.60926011099963)",15GRP,233
2010,1,MP,Northern Mariana Islands,Legislation - Smokefree Indoor Air,Home-based Day Care Centers,Restrictions,Type of Restriction in Home-Based Day Care,Banned,4,Ranking,2009-09-29,2009-09-29,"(15.0979, 145.6739)",10GRP,65
2010,1,AK,Alaska,Legislation - Smokefree Indoor Air,Restaurants,Restriction Areas,Type of Restriction in Restaurant Patron Area,Designated Areas,3,Ranking,1975-01-01,1975-12-31,"(64.84507995700051, -147.72205903599973)",15GRP,233
2009,4,TN,Tennessee,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Enclosed Arenas,Banned,4,Ranking,2007-06-11,2007-10-01,"(35.68094058000048, -85.77449091399967)",15GRP,98
2010,1,MH,Marshall Islands,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Hospitals,Banned,4,Ranking,2003-09-29,2003-12-03,"(11.3246908, 166.84174239999993)",15GRP,100
2010,2,DC,District of Columbia,Legislation - Smokefree Indoor Air,Private Worksites,Restrictions,Type of Restriction in Private Worksite,Banned,4,Ranking,2006-01-31,2006-04-03,"(38.89037138500049, -77.03196112699965)",10GRP,20
2010,1,SC,South Carolina,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Public Transportation,Banned,4,Ranking,1990-05-30,1990-08-01,"(33.998821303000454, -81.04537120699968)",15GRP,99
2010,1,MT,Montana,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Malls,Banned,4,Ranking,2005-04-17,2005-10-01,"(47.06652897200047, -109.42442064499971)",15GRP,96
2010,2,FL,Florida,Legislation - Smokefree Indoor Air,Restaurants,Restriction Areas,Type of Restriction in Restaurant Employee Area,Banned,4,Ranking,2003-06-23,2003-07-01,"(28.932040377000476, -81.92896053899966)",15GRP,232
2010,1,CA,California,Legislation - Smokefree Indoor Air,Government Worksites,Vehicles,Type of Restriction in Government Worksite Vehicle,Banned,4,Ranking,2003-09-08,2004-01-01,"(37.63864012300047, -120.99999953799971)",30GRP,17
2010,1,PA,Pennsylvania,Legislation - Smokefree Indoor Air,Restaurants,Restriction Areas,Type of Restriction in Restaurant Patron Area,Banned,4,Ranking,2008-06-13,2008-09-11,"(40.79373015200048, -77.86070029399963)",15GRP,233
2010,1,MP,Northern Mariana Islands,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Public Transportation,Banned,4,Ranking,2009-09-29,2009-09-29,"(15.0979, 145.6739)",15GRP,99
2010,1,AZ,Arizona,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Grocery Stores,Banned,4,Ranking,2006-11-07,2007-05-01,"(34.865970280000454, -111.76381127699972)",15GRP,97
2010,2,MO,Missouri,Legislation - Smokefree Indoor Air,Hotels and Motels,Restrictions,Type of Restriction in Lobby and Common Area of Hotel and Motel,Designated Areas,3,Ranking,1992-06-11,1992-09-09,"(38.635790776000476, -92.56630005299968)",10GRP,81
2009,4,NV,Nevada,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Public Transportation,Banned,4,Ranking,2006-11-07,2006-11-17,"(39.493240390000494, -117.07184056399967)",15GRP,99
2010,2,CA,California,Legislation - Smokefree Indoor Air,Restaurants,Restriction Areas,Type of Restriction in Restaurant Bar Area,Banned,4,Ranking,1996-09-27,1998-01-01,"(37.63864012300047, -120.99999953799971)",15GRP,231
2010,1,MI,Michigan,Legislation - Smokefree Indoor Air,Government Worksites,Restrictions,Type of Restriction in Government Worksite,Banned,4,Ranking,1992-03-18,1992-06-15,"(44.6613195430005, -84.71439026999968)",10GRP,1
2010,2,NJ,New Jersey,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Grocery Stores,Banned,4,Ranking,2006-01-15,2006-04-15,"(40.13057004800049, -74.27369128799967)",15GRP,97
2009,4,SD,South Dakota,Legislation - Smokefree Indoor Air,Hotels and Motels,Restrictions,Type of Restriction in Lobby and Common Area of Hotel and Motel,Banned,4,Ranking,2002-02-22,2002-07-01,"(44.353130053000484, -100.3735306369997)",10GRP,81
2010,1,CO,Colorado,Legislation - Smokefree Indoor Air,Bars,Restrictions,Type of Restriction in Bar (Summary),Banned,4,Ranking,2006-03-27,2006-07-01,"(38.843840757000464, -106.13361092099967)",10GRP,234
2010,1,LA,Louisiana,Legislation - Smokefree Indoor Air,Hotels and Motels,Restrictions,Type of Restriction in Lobby and Common Area of Hotel and Motel,Banned,4,Ranking,2006-06-30,2007-01-01,"(31.31266064400046, -92.44568007099969)",10GRP,81
2010,1,IL,Illinois,Legislation - Smokefree Indoor Air,Home-based Day Care Centers,Restrictions,Type of Restriction in Home-Based Day Care,Banned,4,Ranking,1993-07-20,1994-01-01,"(40.48501028300046, -88.99771017799969)",10GRP,65
2010,1,GU,Guam,Legislation - Smokefree Indoor Air,Restaurants,Restriction Areas,Type of Restriction in Restaurant Patron Area,Banned,4,Ranking,2005-12-09,2006-05-08,"(13.444304, 144.793731)",15GRP,233
2010,1,OH,Ohio,Legislation - Smokefree Indoor Air,Restaurants,Restriction Areas,Type of Restriction in Restaurant Employee Area,Banned,4,Ranking,2006-11-07,2006-12-07,"(40.06021014100048, -82.40426005599966)",15GRP,232
2009,4,UT,Utah,Legislation - Smokefree Indoor Air,Commercial Day Care Centers,Restrictions,Type of Restriction in Commercial Day Care,Banned,4,Ranking,1994-03-22,1995-01-01,"(39.360700171000474, -111.58713063499971)",10GRP,50
2010,1,MN,Minnesota,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Enclosed Arenas,Banned,4,Ranking,2007-05-16,2007-10-01,"(46.35564873600049, -94.79420050299967)",15GRP,98
2010,1,GA,Georgia,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Substance Use - Residential Facilities,Designated Areas,3,Ranking,2005-05-09,2005-07-01,"(32.83968109300048, -83.62758034599966)",15GRP,339
2010,2,AZ,Arizona,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Substance Use - Outpatient Facilities,Banned,4,Ranking,2006-11-07,2007-05-01,"(34.865970280000454, -111.76381127699972)",15GRP,338
2010,2,ID,Idaho,Legislation - Smokefree Indoor Air,Restaurants,Restrictions,Type of Restriction in Restaurant (Summary),Banned,4,Ranking,2004-04-02,2004-07-01,"(43.682630005000476, -114.3637300419997)",10GRP,37
2010,1,ND,North Dakota,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Enclosed Arenas,Banned,4,Ranking,2005-04-25,2005-08-01,"(47.47531977900047, -100.11842104899966)",15GRP,98
2010,2,MN,Minnesota,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Prisons,Banned,4,Ranking,1996-04-02,1997-08-01,"(46.35564873600049, -94.79420050299967)",15GRP,101
2010,1,MN,Minnesota,Legislation - Smokefree Indoor Air,Restaurants,Restriction Areas,Type of Restriction in Restaurant Employee Area,Banned,4,Ranking,2007-05-16,2007-10-01,"(46.35564873600049, -94.79420050299967)",15GRP,232
2010,2,NV,Nevada,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Hospitals,Banned,4,Ranking,2006-11-07,2006-11-17,"(39.493240390000494, -117.07184056399967)",15GRP,100
2010,1,OK,Oklahoma,Legislation - Smokefree Indoor Air,Home-based Day Care Centers,Restrictions,Type of Restriction in Home-Based Day Care,Banned,4,Ranking,2003-06-06,2003-11-01,"(35.47203135600046, -97.52107021399968)",10GRP,65
2010,2,MO,Missouri,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Malls,Designated Areas,3,Ranking,1992-06-11,1992-08-13,"(38.635790776000476, -92.56630005299968)",15GRP,96
2010,1,MN,Minnesota,Legislation - Smokefree Indoor Air,Government Multi-Unit Housing,Restrictions,Type of Restriction in Lobby and Common Area of Government Multi-Unit Housing,Banned,4,Ranking,2007-05-16,2007-10-01,"(46.35564873600049, -94.79420050299967)",10GRP,115
2009,4,OH,Ohio,Legislation - Smokefree Indoor Air,Home-based Day Care Centers,Restrictions,Type of Restriction in Home-Based Day Care,Banned,4,Ranking,2006-11-07,2006-12-07,"(40.06021014100048, -82.40426005599966)",10GRP,65
2010,2,HI,Hawaii,Legislation - Smokefree Indoor Air,Private Multi-Unit Housing,Restrictions,Type of Restriction in Lobby and Common Area of Private Multi-Unit Housing,Banned,4,Ranking,2006-07-10,2006-11-16,"(21.304850435000446, -157.85774940299973)",10GRP,125
2010,2,ID,Idaho,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Public Transportation,Banned,4,Ranking,2004-04-02,2004-07-01,"(43.682630005000476, -114.3637300419997)",15GRP,99
2010,2,NJ,New Jersey,Legislation - Smokefree Indoor Air,Hotels and Motels,Additional Requirements,Sleeping Room Designation (Type),Smoking Room,3,Ranking,2006-01-15,2006-04-15,"(40.13057004800049, -74.27369128799967)",20GRP,83
2010,2,KS,Kansas,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Public Transportation,Banned,4,Ranking,1987-04-14,1987-07-01,"(38.34774030000045, -98.20078122699965)",15GRP,99
2009,4,TN,Tennessee,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Mental Health - Residential Facilities,Banned,4,Ranking,2007-06-11,2007-10-01,"(35.68094058000048, -85.77449091399967)",15GRP,341
2010,1,MA,Massachusetts,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Mental Health - Residential Facilities,Banned,4,Ranking,2004-06-18,2004-07-05,"(42.27687047000046, -72.08269067499964)",15GRP,341
2010,2,AK,Alaska,Legislation - Smokefree Indoor Air,Restaurants,Restriction Areas,Type of Restriction in Restaurant Employee Area,Designated Areas,3,Ranking,1975-01-01,1975-12-31,"(64.84507995700051, -147.72205903599973)",15GRP,232
2010,1,WV,West Virginia,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Public Transportation,Banned,4,Ranking,1985-04-13,1985-07-12,"(38.66551020200046, -80.71264013499967)",15GRP,99
2010,1,MN,Minnesota,Legislation - Smokefree Indoor Air,Hotels and Motels,Restrictions,Type of Restriction in Lobby and Common Area of Hotel and Motel,Banned,4,Ranking,2007-05-14,2007-10-01,"(46.35564873600049, -94.79420050299967)",10GRP,81
2010,1,ID,Idaho,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Enclosed Arenas,Banned,4,Ranking,2004-04-02,2004-07-01,"(43.682630005000476, -114.3637300419997)",15GRP,98
2009,4,WI,Wisconsin,Legislation - Smokefree Indoor Air,Restaurants,Restriction Areas,Type of Restriction in Restaurant Employee Area,Designated Areas,3,Ranking,1983-01-01,1983-12-31,"(44.39319117400049, -89.81637074199966)",15GRP,232
2010,1,WA,Washington,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Substance Use - Outpatient Facilities,Banned,4,Ranking,2005-11-08,2005-12-08,"(47.52227862900048, -120.47001078999972)",15GRP,338
2010,1,HI,Hawaii,Legislation - Smokefree Indoor Air,Bars,Restriction Areas,Type of Restriction in Bar Patron Area,Banned,4,Ranking,2006-07-10,2006-11-16,"(21.304850435000446, -157.85774940299973)",15GRP,235
2010,1,NH,New Hampshire,Legislation - Smokefree Indoor Air,Restaurants,Restriction Areas,Type of Restriction in Restaurant Bar Area,Banned,4,Ranking,2007-06-19,2007-09-17,"(43.65595011300047, -71.50036091999965)",15GRP,231
2010,1,NH,New Hampshire,Legislation - Smokefree Indoor Air,Government Multi-Unit Housing,Restrictions,Type of Restriction in Lobby and Common Area of Government Multi-Unit Housing,Designated Areas,3,Ranking,1990-04-27,1991-01-01,"(43.65595011300047, -71.50036091999965)",10GRP,115
2010,2,NC,North Carolina,Legislation - Smokefree Indoor Air,Bars,Restriction Areas,Type of Restriction in Bar Patron Area,Banned,4,Ranking,2009-05-19,2010-01-02,"(35.466220975000454, -79.15925046299964)",15GRP,235
2010,1,MD,Maryland,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Public Transportation,Banned,4,Ranking,2007-05-17,2008-02-01,"(39.29058096400047, -76.60926011099963)",15GRP,99
2010,2,CO,Colorado,Legislation - Smokefree Indoor Air,Bars,Restriction Areas,Type of Restriction in Bar Employee Area,Banned,4,Ranking,2006-03-27,2006-07-01,"(38.843840757000464, -106.13361092099967)",15GRP,236
2009,4,OH,Ohio,Legislation - Smokefree Indoor Air,Restaurants,Restriction Areas,Type of Restriction in Restaurant Employee Area,Banned,4,Ranking,2006-11-07,2006-12-07,"(40.06021014100048, -82.40426005599966)",15GRP,232
2009,4,SD,South Dakota,Legislation - Smokefree Indoor Air,Restaurants,Restriction Areas,Type of Restriction in Restaurant Bar Area,Banned,4,Ranking,2008-03-13,2008-07-01,"(44.353130053000484, -100.3735306369997)",15GRP,231
2009,4,PA,Pennsylvania,Legislation - Smokefree Indoor Air,Government Worksites,Restrictions,Type of Restriction in Government Worksite,Banned,4,Ranking,2008-06-13,2008-09-11,"(40.79373015200048, -77.86070029399963)",10GRP,1
2010,1,AK,Alaska,Legislation - Smokefree Indoor Air,Government Worksites,Restrictions,Type of Restriction in Government Worksite,Designated Areas,3,Ranking,1984-04-18,1984-07-17,"(64.84507995700051, -147.72205903599973)",10GRP,1
2010,1,SD,South Dakota,Legislation - Smokefree Indoor Air,Restaurants,Restriction Areas,Type of Restriction in Restaurant Employee Area,Banned,4,Ranking,2002-02-22,2002-07-01,"(44.353130053000484, -100.3735306369997)",15GRP,232
2010,2,MP,Northern Mariana Islands,Legislation - Smokefree Indoor Air,Private Worksites,Restrictions,Type of Restriction in Private Worksite,Banned,4,Ranking,2009-09-29,2009-09-29,"(15.0979, 145.6739)",10GRP,20
2010,2,MP,Northern Mariana Islands,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Enclosed Arenas,Banned,4,Ranking,2009-09-29,2009-09-29,"(15.0979, 145.6739)",15GRP,98
2010,2,NM,New Mexico,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Public Transportation,Banned,4,Ranking,2007-03-13,2007-06-15,"(34.52088095200048, -106.24058098499967)",15GRP,99
2010,1,NY,New York,Legislation - Smokefree Indoor Air,Hotels and Motels,Additional Requirements,Sleeping Room Designation (Type),Smoking Room,3,Ranking,2003-05-26,2003-07-24,"(42.82700103200045, -75.54397042699964)",20GRP,83
2010,2,DE,Delaware,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Malls,Banned,4,Ranking,2002-05-31,2002-11-27,"(39.008830667000495, -75.57774116799965)",15GRP,96
2010,1,WA,Washington,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Public Transportation,Designated Areas,3,Ranking,2009-04-21,2009-07-26,"(47.52227862900048, -120.47001078999972)",15GRP,99
2010,1,MA,Massachusetts,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Public Transportation,Banned,4,Ranking,1988-01-14,1988-04-13,"(42.27687047000046, -72.08269067499964)",15GRP,99
2010,1,AR,Arkansas,Legislation - Smokefree Indoor Air,Restaurants,Restriction Areas,Type of Restriction in Restaurant Employee Area,Designated Areas,3,Ranking,2006-04-07,2006-07-21,"(34.74865012400045, -92.27449074299966)",15GRP,232
2010,2,AZ,Arizona,Legislation - Smokefree Indoor Air,Restaurants,Restriction Areas,Type of Restriction in Restaurant Bar Area,Banned,4,Ranking,2006-11-15,2007-05-01,"(34.865970280000454, -111.76381127699972)",15GRP,231
2010,2,DC,District of Columbia,Legislation - Smokefree Indoor Air,Hotels and Motels,Restrictions,Type of Restriction in Lobby and Common Area of Hotel and Motel,Banned,4,Ranking,2010-04-02,2010-05-27,"(38.89037138500049, -77.03196112699965)",10GRP,81
2010,1,CT,Connecticut,Legislation - Smokefree Indoor Air,Bars,Restriction Areas,Type of Restriction in Bar Patron Area,Banned,4,Ranking,2003-05-23,2004-04-01,"(41.56266102000046, -72.64984095199964)",15GRP,235
2010,2,LA,Louisiana,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Public Transportation,Banned,4,Ranking,2006-06-30,2007-01-01,"(31.31266064400046, -92.44568007099969)",15GRP,99
2010,1,VA,Virginia,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Hospitals,Designated Areas,3,Ranking,2009-03-09,2009-12-01,"(37.54268067400045, -78.45789046299967)",15GRP,100
2009,4,RI,Rhode Island,Legislation - Smokefree Indoor Air,Government Multi-Unit Housing,Restrictions,Type of Restriction in Lobby and Common Area of Government Multi-Unit Housing,Banned,4,Ranking,2004-06-29,2005-03-01,"(41.70828019300046, -71.52247031399963)",10GRP,115
2010,1,NM,New Mexico,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Grocery Stores,Banned,4,Ranking,2007-03-13,2007-06-15,"(34.52088095200048, -106.24058098499967)",15GRP,97
2010,2,AZ,Arizona,Legislation - Smokefree Indoor Air,Private Worksites,Restrictions,Type of Restriction in Private Worksite,Banned,4,Ranking,2006-11-07,2007-05-01,"(34.865970280000454, -111.76381127699972)",10GRP,20
2010,1,ND,North Dakota,Legislation - Smokefree Indoor Air,Home-based Day Care Centers,Restrictions,Type of Restriction in Home-Based Day Care,Banned,4,Ranking,1993-04-01,1993-08-01,"(47.47531977900047, -100.11842104899966)",10GRP,65
2010,1,DE,Delaware,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Public Transportation,Banned,4,Ranking,1994-06-28,1994-06-28,"(39.008830667000495, -75.57774116799965)",15GRP,99
2010,2,FL,Florida,Legislation - Smokefree Indoor Air,Hotels and Motels,Restrictions,Type of Restriction in Lobby and Common Area of Hotel and Motel,Banned,4,Ranking,2003-06-23,2003-07-01,"(28.932040377000476, -81.92896053899966)",10GRP,81
2009,4,PA,Pennsylvania,Legislation - Smokefree Indoor Air,Home-based Day Care Centers,Restrictions,Type of Restriction in Home-Based Day Care,Banned,4,Ranking,2008-06-13,2008-09-11,"(40.79373015200048, -77.86070029399963)",10GRP,65
2010,2,CA,California,Legislation - Smokefree Indoor Air,Home-based Day Care Centers,Restrictions,Type of Restriction in Home-Based Day Care,Banned,4,Ranking,1994-07-21,1995-01-01,"(37.63864012300047, -120.99999953799971)",10GRP,65
2010,2,NJ,New Jersey,Legislation - Smokefree Indoor Air,Bars,Restrictions,Type of Restriction in Bar (Summary),Banned,4,Ranking,2006-01-15,2006-04-15,"(40.13057004800049, -74.27369128799967)",10GRP,234
2009,4,OK,Oklahoma,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Malls,Banned,4,Ranking,2003-06-06,2003-09-01,"(35.47203135600046, -97.52107021399968)",15GRP,96
2010,1,CO,Colorado,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Malls,Banned,4,Ranking,2006-03-27,2006-07-01,"(38.843840757000464, -106.13361092099967)",15GRP,96
2010,1,ME,Maine,Legislation - Smokefree Indoor Air,Government Multi-Unit Housing,Restrictions,Type of Restriction in Lobby and Common Area of Government Multi-Unit Housing,Banned,4,Ranking,2009-06-08,2009-09-11,"(45.254228894000505, -68.98503133599962)",10GRP,115
2010,1,OR,Oregon,Legislation - Smokefree Indoor Air,Bars,Restriction Areas,Type of Restriction in Bar Employee Area,Banned,4,Ranking,2007-06-26,2009-01-01,"(44.56744942400047, -120.15503132599969)",15GRP,236
2010,1,NJ,New Jersey,Legislation - Smokefree Indoor Air,Private Worksites,Restrictions,Type of Restriction in Private Worksite,Banned,4,Ranking,2006-01-15,2006-04-15,"(40.13057004800049, -74.27369128799967)",10GRP,20
2010,2,GU,Guam,Legislation - Smokefree Indoor Air,Restaurants,Restrictions,Type of Restriction in Restaurant (Summary),Banned,4,Ranking,2005-12-09,2006-05-08,"(13.444304, 144.793731)",10GRP,37
2010,2,ME,Maine,Legislation - Smokefree Indoor Air,Government Worksites,Restrictions,Type of Restriction in Government Worksite,Banned,4,Ranking,2009-06-08,2009-09-11,"(45.254228894000505, -68.98503133599962)",10GRP,1
2010,1,UT,Utah,Legislation - Smokefree Indoor Air,Bars,Restriction Areas,Type of Restriction in Bar Patron Area,Banned,4,Ranking,2007-02-27,2009-01-01,"(39.360700171000474, -111.58713063499971)",15GRP,235
2010,1,NY,New York,Legislation - Smokefree Indoor Air,Restaurants,Restrictions,Type of Restriction in Restaurant (Summary),Banned,4,Ranking,2003-03-26,2003-07-24,"(42.82700103200045, -75.54397042699964)",10GRP,37
2010,1,GU,Guam,Legislation - Smokefree Indoor Air,Government Worksites,Restrictions,Type of Restriction in Government Worksite,Designated Smoking Area,0,Ranking,2005-12-09,2006-05-08,"(13.444304, 144.793731)",10GRP,1
2010,2,MT,Montana,Legislation - Smokefree Indoor Air,Commercial Day Care Centers,Restrictions,Type of Restriction in Commercial Day Care,Banned,4,Ranking,2005-04-16,2005-10-01,"(47.06652897200047, -109.42442064499971)",10GRP,50
2010,1,LA,Louisiana,Legislation - Smokefree Indoor Air,Commercial Day Care Centers,Restrictions,Type of Restriction in Commercial Day Care,Banned,4,Ranking,2006-06-30,2007-01-01,"(31.31266064400046, -92.44568007099969)",10GRP,50
2010,1,MT,Montana,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Grocery Stores,Banned,4,Ranking,2005-04-17,2005-10-01,"(47.06652897200047, -109.42442064499971)",15GRP,97
2009,4,OR,Oregon,Legislation - Smokefree Indoor Air,Private Worksites,Restrictions,Type of Restriction in Private Worksite,Banned,4,Ranking,2007-06-26,2009-01-01,"(44.56744942400047, -120.15503132599969)",10GRP,20
2009,4,RI,Rhode Island,Legislation - Smokefree Indoor Air,Bars,Restriction Areas,Type of Restriction in Bar Employee Area,Banned,4,Ranking,2004-06-29,2005-03-01,"(41.70828019300046, -71.52247031399963)",15GRP,236
2009,4,OR,Oregon,Legislation - Smokefree Indoor Air,Bars,Restriction Areas,Type of Restriction in Bar Patron Area,Banned,4,Ranking,2007-06-26,2009-01-01,"(44.56744942400047, -120.15503132599969)",15GRP,235
2010,2,LA,Louisiana,Legislation - Smokefree Indoor Air,Hotels and Motels,Additional Requirements,Sleeping Room Designation (Type),Smoking Room,3,Ranking,2006-06-30,2007-01-01,"(31.31266064400046, -92.44568007099969)",20GRP,83
